"LISEM run with:,D:/LISEM/VNIIMZ/probnik_10m.run"
"results at time (day:min):"0.50:720
class,Depth,Area,Volume,Duration,Start,Structures,Roads
#,m,m2,m3,h,h,m2,m2
total,>0.05,58900.00,7278.98,,,0.00,0.00
1,0.05,34800.00,2369.99,0.73,12.00,0.00,0.00
2,0.10,12900.00,1565.36,0.77,0.87,0.00,0.00
3,0.15,4500.00,793.51,0.70,0.83,0.00,0.00
4,0.20,2400.00,533.25,0.70,0.83,0.00,0.00
5,0.25,800.00,218.88,0.60,0.80,0.00,0.00
6,0.30,800.00,252.90,0.73,0.70,0.00,0.00
7,0.35,500.00,189.18,0.63,0.77,0.00,0.00
8,0.40,100.00,43.28,0.47,0.47,0.00,0.00
9,0.45,300.00,141.73,0.67,0.50,0.00,0.00
10,0.50,300.00,156.82,0.60,0.47,0.00,0.00
11,0.55,600.00,342.40,0.70,0.57,0.00,0.00
12,0.60,0.00,0.00,0.00,0.00,0.00,0.00
13,0.65,400.00,269.56,0.63,0.50,0.00,0.00
14,0.70,200.00,142.75,0.63,0.33,0.00,0.00
15,0.75,100.00,77.56,0.67,0.27,0.00,0.00
16,0.80,0.00,0.00,0.00,0.00,0.00,0.00
17,0.85,100.00,86.38,0.53,0.40,0.00,0.00
18,0.90,0.00,0.00,0.00,0.00,0.00,0.00
19,0.95,100.00,95.43,0.63,0.30,0.00,0.00
