LISEM total flow and sed output file for point 19
Time,Pavg,Qall,Qrunoff,Qsall,Qsrunoff,Conc
days,mm/h,l/s,l/s,kg/s,kg/s,g/l
0.0000000,15.200,3.411,0.169,0.115,0.002,12.352
0.0027778,15.200,14.893,0.763,1.271,0.000,0.000
0.0055556,15.200,37.998,1.911,3.336,0.063,28.314
0.0083333,11.300,70.538,3.459,3.452,0.015,3.512
0.0111111,11.300,127.229,6.170,12.030,0.199,27.429
0.0138889,11.300,229.580,10.773,10.921,1.898,155.635
0.0166667,10.200,400.530,17.028,32.714,0.000,0.018
0.0194444,10.200,671.845,24.128,34.385,15.732,545.971
0.0222222,0.000,966.902,27.680,68.394,0.015,0.491
0.0250000,0.000,1296.639,29.125,116.398,20.047,592.757
0.0277778,0.000,1614.718,28.816,115.746,0.032,0.956
0.0305556,0.000,1887.691,27.356,247.142,18.778,589.748
0.0333333,0.000,2101.249,25.302,208.815,0.024,0.811
0.0361111,0.000,2252.206,23.046,270.744,16.331,600.510
0.0388889,0.000,2345.141,20.819,334.169,0.007,0.281
0.0416667,0.000,2391.748,18.739,319.373,13.638,605.518
0.0444444,0.000,2405.598,16.854,378.998,0.004,0.216
0.0472222,0.000,2396.131,15.174,335.787,10.600,570.360
0.0500000,0.000,2367.283,13.689,414.809,0.003,0.162
0.0527778,0.000,2320.194,12.382,329.669,8.828,570.417
0.0555556,0.000,2256.331,11.233,384.398,0.000,0.000
0.0583333,0.000,2178.709,10.222,297.170,6.129,466.478
0.0611111,0.000,2091.400,9.332,382.833,0.000,0.000
0.0638889,0.000,1998.536,8.545,139.599,4.046,356.859
0.0666667,0.000,1903.597,7.849,373.225,0.000,0.000
0.0694444,0.000,1809.153,7.231,89.943,3.416,349.513
0.0722222,0.000,1716.904,6.680,445.709,0.000,0.000
0.0750000,0.000,1627.878,6.188,75.433,2.912,342.099
0.0777778,0.000,1542.632,5.747,395.804,0.000,0.000
0.0805556,0.000,1461.430,5.350,64.376,2.251,300.793
0.0833333,0.000,1384.369,4.992,361.203,0.000,0.000
0.0861111,0.000,1311.452,4.668,56.110,1.960,295.584
0.0888889,0.000,1242.630,4.375,324.044,0.000,0.000
0.0916667,0.000,1177.818,4.108,49.047,0.664,112.194
0.0944444,0.000,1116.905,3.864,279.100,0.000,0.000
0.0972222,0.000,1059.752,3.641,43.525,0.582,109.348
0.1000000,0.000,1006.200,3.437,244.698,0.000,0.000
0.1027778,0.000,956.071,3.249,38.822,0.508,105.513
0.1055556,0.000,909.178,3.077,216.144,0.000,0.000
0.1083333,0.000,865.323,2.917,34.339,0.451,103.025
0.1111111,0.000,824.311,2.770,187.345,0.000,0.000
0.1138889,0.000,785.947,2.633,37.786,0.398,99.548
0.1166667,0.000,750.044,2.507,162.025,0.000,0.000
0.1194444,0.000,716.423,2.389,33.767,0.266,72.467
0.1222222,0.000,684.916,2.279,122.650,0.000,0.000
0.1250000,0.000,655.364,2.177,33.418,0.072,21.211
0.1277778,0.000,627.622,2.081,78.976,0.000,0.000
0.1305556,0.000,601.555,1.992,78.906,0.064,20.654
0.1333333,0.000,577.036,1.908,71.917,0.000,0.000
0.1361111,0.000,553.953,1.830,70.127,0.058,20.115
0.1388889,0.000,532.199,1.756,66.305,0.000,0.000
0.1416667,0.000,511.678,1.686,60.802,0.053,19.594
0.1444444,0.000,492.303,1.621,61.684,0.000,0.000
0.1472222,0.000,473.991,1.559,50.845,0.048,19.091
0.1500000,0.000,456.669,1.501,57.432,0.000,0.000
0.1527778,0.000,440.268,1.446,44.526,0.044,18.604
0.1555556,0.000,424.726,1.393,53.808,0.000,0.000
0.1583333,0.000,409.986,1.344,38.978,0.040,18.133
0.1611111,0.000,395.995,1.297,50.528,0.000,0.000
0.1638889,0.000,382.703,1.253,33.025,0.037,17.679
0.1666667,0.000,370.067,1.211,47.462,0.000,0.000
0.1694444,0.000,358.044,1.171,29.491,0.034,17.240
0.1722222,0.000,346.596,1.132,43.687,0.000,0.000
0.1750000,0.000,335.687,1.096,27.290,0.031,16.816
0.1777778,0.000,325.286,1.061,38.230,0.000,0.000
0.1805556,0.000,315.361,1.028,27.862,0.028,16.406
0.1833333,0.000,305.885,0.997,36.224,0.000,0.000
0.1861111,0.000,296.830,0.967,25.389,0.026,16.010
0.1888889,0.000,288.173,0.938,33.994,0.000,0.000
0.1916667,0.000,279.890,0.911,20.798,0.024,15.628
0.1944444,0.000,271.962,0.884,31.926,0.000,0.000
0.1972222,0.000,264.368,0.859,17.748,0.023,15.258
0.2000000,0.000,257.089,0.835,30.060,0.000,0.000
0.2027778,0.000,250.109,0.812,16.046,0.021,14.900
0.2055556,0.000,243.411,0.790,28.393,0.000,0.000
0.2083333,0.000,236.981,0.768,14.451,0.019,14.554
0.2111111,0.000,230.804,0.748,26.966,0.000,0.000
0.2138889,0.000,224.868,0.728,12.386,0.018,14.219
0.2166667,0.000,219.160,0.709,25.774,0.000,0.000
0.2194444,0.000,213.668,0.691,7.160,0.017,13.895
0.2222222,0.000,208.383,0.673,28.585,0.000,0.000
0.2250000,0.000,203.293,0.657,6.837,0.016,13.582
0.2277778,0.000,198.389,0.640,26.904,0.000,0.000
0.2305556,0.000,193.662,0.625,5.845,0.015,13.279
0.2333333,0.000,189.104,0.610,25.365,0.000,0.000
0.2361111,0.000,184.706,0.595,5.562,0.014,12.985
0.2388889,0.000,180.462,0.581,23.936,0.000,0.000
0.2416667,0.000,176.364,0.567,5.285,0.013,12.700
0.2444444,0.000,172.405,0.554,22.604,0.000,0.000
0.2472222,0.000,168.580,0.542,5.023,0.012,12.424
0.2500000,0.000,164.882,0.529,20.804,0.000,0.000
0.2527778,0.000,161.306,0.518,4.777,0.011,12.157
0.2555556,0.000,157.846,0.506,19.660,0.000,0.000
0.2583333,0.000,154.497,0.495,4.424,0.011,11.897
0.2611111,0.000,151.255,0.484,18.581,0.000,0.000
0.2638889,0.000,148.115,0.474,4.208,0.010,11.646
0.2666667,0.000,145.073,0.464,17.626,0.000,0.000
0.2694444,0.000,142.125,0.454,4.003,0.009,11.402
0.2722222,0.000,139.267,0.445,16.793,0.000,0.000
0.2750000,0.000,136.495,0.435,3.793,0.009,11.165
0.2777778,0.000,133.806,0.427,16.031,0.000,0.000
0.2805556,0.000,131.196,0.418,3.666,0.008,10.935
0.2833333,0.000,128.663,0.410,15.376,0.000,0.000
0.2861111,0.000,126.203,0.401,3.546,0.008,10.712
0.2888889,0.000,123.814,0.394,14.754,0.000,0.000
0.2916667,0.000,121.493,0.386,3.431,0.008,10.496
0.2944444,0.000,119.237,0.378,14.166,0.000,0.000
0.2972222,0.000,117.045,0.371,3.322,0.007,10.285
0.3000000,0.000,114.912,0.364,13.611,0.000,0.000
0.3027778,0.000,112.838,0.357,3.218,0.007,10.081
0.3055556,0.000,110.820,0.351,13.061,0.000,0.000
0.3083333,0.000,108.857,0.344,3.119,0.006,9.882
0.3111111,0.000,106.946,0.338,12.506,0.000,0.000
0.3138889,0.000,105.085,0.332,3.024,0.006,9.689
0.3166667,0.000,103.273,0.326,11.514,0.000,0.000
0.3194444,0.000,101.507,0.320,2.933,0.006,9.501
0.3222222,0.000,99.787,0.314,11.017,0.000,0.000
