"LISEM run with:",/home/jovyan/work/LISEM 3/runfiles/probnik_10m.run               
"LISEM results at time (day:min):",     0.000000000               :             716               
"Catchment area (km2):",     3.216116163               
"Total Precipitation (mm):",     6.659999955               
"Total interception(mm):",     0.000000000               
"Total Litter interception (mm):",     0.000000000               
"Total House interception (mm):",     0.000000000               
"Surface storage (mm):",     0.297390502               
"Total infiltration (mm):",     0.000000000               
"Total ETa (mm):",     0.000000000               
"Storm Drain (mm):",     0.000000000               
"Water in overland flow (mm):",     0.251491765               
"Water in flood (mm):",     0.000000000               
"Water in channels (mm):",     0.000000000               
"Water across boundary (mm):",     0.000000000               
"Water in rentention (m3):",     0.000000000               
"Total baseflow and GW inflow (mm):",     0.000000000               
"Total peakflow (mm):",     6.111117746               
"Total outflow (overland+channel) (mm):",     6.111117746               
"Total outflow (overland+channel) (m3):", 19646.632441310               
"Total boundary outflow (m3):",     0.000000000               
"Total storm/tile drain discharge (m3):",     0.000000000               
"Peak time precipitation (min):",     0.000000000               
"Total discharge/Precipitation (%):",    91.710934572               
"Flood volume (max level) (m3):",     0.000000000               
"Flood area (max level) (m2):",     0.000000000               
               
"Splash detachment (land) (ton):",    44.894521636               
"Flow detachment (land) (ton):", 14795.051099779               
"Deposition (land) (ton):",-12420.984138704               
"Sediment (land) (ton):",     0.346825114               
"Flow detachment (channels) (ton):",     0.000000000               
"Deposition (channels) (ton):",     0.000000000               
"Sediment (channels) (ton):",     0.000000000               
"Total soil loss (ton):",  2418.614650092               
"Average soil loss (kg/ha):",  7520.296305375               
               
"Peak discharge for outlet 1 (l/s):",     3.763126442               
"Peak discharge for outlet 2 (l/s):",     2.803901210               
"Peak discharge for outlet 3 (l/s):",     1.879527466               
"Peak discharge for outlet 4 (l/s):",     2.940024249               
"Peak discharge for outlet 5 (l/s):",    66.086582839               
"Peak discharge for outlet 6 (l/s):",    66.182956100               
"Peak discharge for outlet 7 (l/s):",   107.672408223               
"Peak discharge for outlet 8 (l/s):",   108.065053821               
"Peak discharge for outlet 9 (l/s):",    74.540257454               
"Peak discharge for outlet 10 (l/s):",   118.608579040               
"Peak discharge for outlet 11 (l/s):",   118.571460247               
"Peak discharge for outlet 12 (l/s):",   118.366122246               
"Peak discharge for outlet 13 (l/s):",   286.980956793               
"Peak discharge for outlet 14 (l/s):",     1.100028865               
"Peak discharge for outlet 15 (l/s):",     4.702908453               
"Peak discharge for outlet 16 (l/s):",   118.433386087               
"Peak discharge for outlet 17 (l/s):",    21.803963929               
"Peak discharge for outlet 18 (l/s):",    29.320469126               
"Peak discharge for outlet 19 (l/s):",    29.124597088               
"Peak discharge for outlet 20 (l/s):",   135.421991348               
"Peak discharge for outlet 21 (l/s):",   134.700894356               
"Peak discharge for outlet 22 (l/s):",   138.197675347               
"Peak discharge for outlet 23 (l/s):",   139.343097806               
"Peak discharge for outlet 24 (l/s):",   268.661022186               
"Peak discharge for outlet 25 (l/s):",     6.572272629               
"Peak discharge for outlet 26 (l/s):",     9.313127026               
"Peak discharge for outlet 27 (l/s):",    10.078734718               
"Peak discharge for outlet 28 (l/s):",    10.705294088               
"Peak discharge for outlet 29 (l/s):",    13.444174081               
"Peak discharge for outlet 30 (l/s):",   166.934013367               
"Peak discharge for outlet 31 (l/s):",    16.676884145               
"Peak discharge for outlet 32 (l/s):",    16.865586862               
"Peak discharge for outlet 33 (l/s):",     9.626012295               
"Peak discharge for outlet 34 (l/s):",     1.275147661               
"Peak discharge for outlet 35 (l/s):",    11.768774129               
"Peak discharge for outlet 36 (l/s):",   207.847163081               
"Peak discharge for outlet 37 (l/s):",     7.954777218               
"Peak discharge for outlet 38 (l/s):",    44.212605804               
"Peak discharge for outlet 39 (l/s):",    43.789103627               
"Peak discharge for outlet 40 (l/s):",   214.081197977               
"Peak discharge for outlet 41 (l/s):",     5.400375929               
"Peak discharge for outlet 42 (l/s):",     6.858444773               
"Peak discharge for outlet 43 (l/s):",    38.529604673               
"Peak discharge for outlet 44 (l/s):",     2.819005167               
"Peak discharge for outlet 45 (l/s):",    38.793548942               
"Peak discharge for outlet 46 (l/s):",   210.488885641               
"Peak discharge for outlet 47 (l/s):",    39.242967963               
"Peak discharge for outlet 48 (l/s):",    28.483511880               
"Peak discharge for outlet 49 (l/s):",   196.110531688               
"Peak discharge for outlet 50 (l/s):",    28.545105830               
"Peak discharge for outlet 51 (l/s):",    28.380142525               
"Peak discharge for outlet 52 (l/s):",    43.011274189               
"Peak discharge for outlet 53 (l/s):",    28.324253857               
"Peak discharge for outlet 54 (l/s):",     3.963128664               
"Peak discharge for outlet 55 (l/s):",    55.923067033               
"Peak discharge for outlet 56 (l/s):",    27.619972825               
"Peak discharge for outlet 57 (l/s):",    24.543026462               
"Peak discharge for outlet 58 (l/s):",    27.252223343               
"Peak discharge for outlet 59 (l/s):",    24.589529261               
"Peak discharge for outlet 60 (l/s):",     3.435297171               
"Peak discharge for outlet 61 (l/s):",   111.173167825               
"Peak discharge for outlet 62 (l/s):",     0.989656080               
"Peak discharge for outlet 63 (l/s):",    10.910267942               
"Peak discharge for outlet 64 (l/s):",     1.488959650               
"Peak discharge for outlet 65 (l/s):",     2.453627763               
"Peak discharge for outlet 66 (l/s):",     4.862190224               
"Peak discharge for outlet 67 (l/s):",     1.892412431               
"Peak discharge for outlet 68 (l/s):",    22.952297702               
"Peak discharge for outlet 69 (l/s):",     1.079599606               
"Peak discharge for outlet 70 (l/s):",    23.482995108               
"Peak discharge for outlet 71 (l/s):",    21.745488048               
"Peak discharge for outlet 72 (l/s):",    16.761917621               
"Peak discharge for outlet 73 (l/s):",     1.554156654               
"Peak discharge for outlet 74 (l/s):",    48.099808395               
"Peak discharge for outlet 75 (l/s):",    18.811924383               
"Peak discharge for outlet 76 (l/s):",     2.166876104               
"Peak discharge for outlet 77 (l/s):",    19.821271300               
"Peak discharge for outlet 78 (l/s):",    48.230588436               
"Peak discharge for outlet 79 (l/s):",     1.027386985               
"Peak discharge for outlet 80 (l/s):",     3.630642081               
"Peak discharge for outlet 81 (l/s):",     0.936830707               
"Peak discharge for outlet 82 (l/s):",     0.493135070               
"Peak discharge for outlet 83 (l/s):",     1.719359192               
"Peak discharge for outlet 84 (l/s):",     6.555832457               
"Peak discharge for outlet 85 (l/s):",     1.960126916               
"Peak discharge for outlet 86 (l/s):",     5.970433820               
"Peak discharge for outlet 87 (l/s):",     4.823615309               
"Peak discharge for outlet 88 (l/s):",     4.200549331               
"Peak discharge for outlet 89 (l/s):",   502.053022385               
"Peak discharge for outlet 90 (l/s):",     2.435231814               
"Peak discharge for outlet 91 (l/s):",     2.189000603               
"Peak discharge for outlet 92 (l/s):",     2.341099549               
"Peak discharge for outlet 93 (l/s):",    12.729929760               
"Peak discharge for outlet 94 (l/s):",    11.421461590               
"Peak discharge for outlet 95 (l/s):",    91.600969434               
"Peak discharge for outlet 96 (l/s):",     9.947073646               
"Peak discharge for outlet 97 (l/s):",    93.183912337               
"Peak discharge for outlet 98 (l/s):",    16.664892435               
"Peak discharge for outlet 99 (l/s):",     8.059591986               
"Peak discharge for outlet 100 (l/s):",     9.807141498               
"Peak discharge for outlet 101 (l/s):",     1.721502864               
"Peak discharge for outlet 102 (l/s):",     1.534305396               
"Peak discharge for outlet 103 (l/s):",     5.518829450               
"Peak discharge for outlet 104 (l/s):",     3.526889021               
"Peak discharge for outlet 105 (l/s):",     2.519462956               
"Peak discharge for outlet 106 (l/s):",    44.484384358               
"Peak discharge for outlet 107 (l/s):",     2.299466403               
"Peak discharge for outlet 108 (l/s):",     1.908052946               
"Peak discharge for outlet 109 (l/s):",     0.682544254               
"Peak discharge for outlet 110 (l/s):",     0.855120306               
"Peak discharge for outlet 111 (l/s):",     9.661679156               
"Peak discharge for outlet 112 (l/s):",    11.553143151               
"Peak discharge for outlet 113 (l/s):",    41.928905994               
"Peak discharge for outlet 114 (l/s):",     0.659430749               
"Peak discharge for outlet 115 (l/s):",     4.101968836               
"Peak discharge for outlet 116 (l/s):",     2.701880410               
"Peak discharge for outlet 117 (l/s):",     1.768177492               
"Peak discharge for outlet 118 (l/s):",     2.579279477               
"Peak discharge for outlet 119 (l/s):",     2.328617265               
"Peak discharge for outlet 120 (l/s):",    20.647728816               
"Peak discharge for outlet 121 (l/s):",     4.313369282               
"Peak discharge for outlet 122 (l/s):",     0.747753074               
"Peak discharge for outlet 123 (l/s):",    13.428962789               
"Peak discharge for outlet 124 (l/s):",     2.250210615               
"Peak discharge for outlet 125 (l/s):",    31.786046922               
"Peak discharge for outlet 126 (l/s):",     1.870673615               
"Peak discharge for outlet 127 (l/s):",     1.739394036               
"Peak discharge for outlet 128 (l/s):",     0.579568616               
"Peak discharge for outlet 129 (l/s):",    63.103601336               
"Peak discharge for outlet 130 (l/s):",    82.469522953               
"Peak discharge for outlet 131 (l/s):",     1.594135538               
"Peak discharge for outlet 132 (l/s):",     1.481103362               
"Peak discharge for outlet 133 (l/s):",     1.209457871               
"Peak discharge for outlet 134 (l/s):",   114.873193204               
"Peak discharge for outlet 135 (l/s):",   380.610674620               
"Peak discharge for outlet 136 (l/s):",    40.289066732               
"Peak discharge for outlet 137 (l/s):",    40.781319141               
"Peak discharge for outlet 138 (l/s):",    47.517534345               
"Peak discharge for outlet 139 (l/s):",   212.361782789               
"Peak time discharge for outlet 1 (min):",    28.000000000               
"Peak time discharge for outlet 2 (min):",    28.000000000               
"Peak time discharge for outlet 3 (min):",    28.000000000               
"Peak time discharge for outlet 4 (min):",    28.000000000               
"Peak time discharge for outlet 5 (min):",   100.000000000               
"Peak time discharge for outlet 6 (min):",   100.000000000               
"Peak time discharge for outlet 7 (min):",    96.000000000               
"Peak time discharge for outlet 8 (min):",   100.000000000               
"Peak time discharge for outlet 9 (min):",   100.000000000               
"Peak time discharge for outlet 10 (min):",   108.000000000               
"Peak time discharge for outlet 11 (min):",   108.000000000               
"Peak time discharge for outlet 12 (min):",   112.000000000               
"Peak time discharge for outlet 13 (min):",    52.000000000               
"Peak time discharge for outlet 14 (min):",    28.000000000               
"Peak time discharge for outlet 15 (min):",    28.000000000               
"Peak time discharge for outlet 16 (min):",   112.000000000               
"Peak time discharge for outlet 17 (min):",    32.000000000               
"Peak time discharge for outlet 18 (min):",    32.000000000               
"Peak time discharge for outlet 19 (min):",    36.000000000               
"Peak time discharge for outlet 20 (min):",    48.000000000               
"Peak time discharge for outlet 21 (min):",    48.000000000               
"Peak time discharge for outlet 22 (min):",    52.000000000               
"Peak time discharge for outlet 23 (min):",    52.000000000               
"Peak time discharge for outlet 24 (min):",    52.000000000               
"Peak time discharge for outlet 25 (min):",    60.000000000               
"Peak time discharge for outlet 26 (min):",    60.000000000               
"Peak time discharge for outlet 27 (min):",    60.000000000               
"Peak time discharge for outlet 28 (min):",    56.000000000               
"Peak time discharge for outlet 29 (min):",    44.000000000               
"Peak time discharge for outlet 30 (min):",    64.000000000               
"Peak time discharge for outlet 31 (min):",    84.000000000               
"Peak time discharge for outlet 32 (min):",    80.000000000               
"Peak time discharge for outlet 33 (min):",    28.000000000               
"Peak time discharge for outlet 34 (min):",    28.000000000               
"Peak time discharge for outlet 35 (min):",    28.000000000               
"Peak time discharge for outlet 36 (min):",    68.000000000               
"Peak time discharge for outlet 37 (min):",    40.000000000               
"Peak time discharge for outlet 38 (min):",    56.000000000               
"Peak time discharge for outlet 39 (min):",    56.000000000               
"Peak time discharge for outlet 40 (min):",    80.000000000               
"Peak time discharge for outlet 41 (min):",    28.000000000               
"Peak time discharge for outlet 42 (min):",    28.000000000               
"Peak time discharge for outlet 43 (min):",    40.000000000               
"Peak time discharge for outlet 44 (min):",    28.000000000               
"Peak time discharge for outlet 45 (min):",    44.000000000               
"Peak time discharge for outlet 46 (min):",    56.000000000               
"Peak time discharge for outlet 47 (min):",    44.000000000               
"Peak time discharge for outlet 48 (min):",    56.000000000               
"Peak time discharge for outlet 49 (min):",    72.000000000               
"Peak time discharge for outlet 50 (min):",    52.000000000               
"Peak time discharge for outlet 51 (min):",    52.000000000               
"Peak time discharge for outlet 52 (min):",    44.000000000               
"Peak time discharge for outlet 53 (min):",    52.000000000               
"Peak time discharge for outlet 54 (min):",    44.000000000               
"Peak time discharge for outlet 55 (min):",    40.000000000               
"Peak time discharge for outlet 56 (min):",    52.000000000               
"Peak time discharge for outlet 57 (min):",    60.000000000               
"Peak time discharge for outlet 58 (min):",    48.000000000               
