"LISEM run with:,/home/jovyan/work/LISEM/runfiles/probnik_20m.run"
"results at time (day:min):"0.50:718
class,Depth,Area,Volume,Duration,Start,Structures,Roads
#,m,m2,m3,h,h,m2,m2
total,>0.05,446800.00,85083.60,,,0.00,0.00
1,0.05,256000.00,17549.36,11.93,10.87,0.00,0.00
2,0.10,81200.00,9968.69,11.93,0.40,0.00,0.00
3,0.15,40400.00,6929.75,11.93,1.23,0.00,0.00
4,0.20,20800.00,4649.94,11.97,0.30,0.00,0.00
5,0.25,12800.00,3419.08,11.93,0.80,0.00,0.00
6,0.30,5600.00,1830.64,11.97,1.53,0.00,0.00
7,0.35,3200.00,1217.68,11.97,0.90,0.00,0.00
8,0.40,3200.00,1362.97,11.97,0.73,0.00,0.00
9,0.45,2000.00,972.19,11.90,0.10,0.00,0.00
10,0.50,1600.00,843.89,11.93,0.10,0.00,0.00
11,0.55,2800.00,1600.05,11.97,0.83,0.00,0.00
12,0.60,1200.00,725.66,11.73,0.27,0.00,0.00
13,0.65,800.00,558.65,11.93,0.13,0.00,0.00
14,0.70,0.00,0.00,0.00,0.00,0.00,0.00
15,0.75,1600.00,1227.65,11.93,0.63,0.00,0.00
16,0.80,0.00,0.00,0.00,0.00,0.00,0.00
17,0.85,0.00,0.00,0.00,0.00,0.00,0.00
18,0.90,400.00,367.14,11.87,0.13,0.00,0.00
19,0.95,0.00,0.00,0.00,0.00,0.00,0.00
20,1.00,0.00,0.00,0.00,0.00,0.00,0.00
21,1.05,0.00,0.00,0.00,0.00,0.00,0.00
22,1.10,0.00,0.00,0.00,0.00,0.00,0.00
23,1.15,400.00,463.02,11.87,0.13,0.00,0.00
24,1.20,1200.00,1464.03,11.83,0.53,0.00,0.00
25,1.25,400.00,506.80,11.57,0.43,0.00,0.00
26,1.30,400.00,535.55,11.77,0.23,0.00,0.00
27,1.35,0.00,0.00,0.00,0.00,0.00,0.00
28,1.40,800.00,1127.99,11.80,0.50,0.00,0.00
29,1.45,0.00,0.00,0.00,0.00,0.00,0.00
30,1.50,400.00,615.85,11.63,0.30,0.00,0.00
31,1.55,0.00,0.00,0.00,0.00,0.00,0.00
32,1.60,1200.00,1947.50,11.90,0.43,0.00,0.00
33,1.65,0.00,0.00,0.00,0.00,0.00,0.00
34,1.70,0.00,0.00,0.00,0.00,0.00,0.00
35,1.75,0.00,0.00,0.00,0.00,0.00,0.00
36,1.80,0.00,0.00,0.00,0.00,0.00,0.00
37,1.85,0.00,0.00,0.00,0.00,0.00,0.00
38,1.90,0.00,0.00,0.00,0.00,0.00,0.00
39,1.95,0.00,0.00,0.00,0.00,0.00,0.00
40,2.00,0.00,0.00,0.00,0.00,0.00,0.00
41,2.05,400.00,831.94,11.63,0.37,0.00,0.00
42,2.10,400.00,852.13,11.63,0.37,0.00,0.00
43,2.15,0.00,0.00,0.00,0.00,0.00,0.00
44,2.20,400.00,891.98,11.73,0.27,0.00,0.00
45,2.25,400.00,909.68,11.67,0.33,0.00,0.00
46,2.30,0.00,0.00,0.00,0.00,0.00,0.00
47,2.35,400.00,953.55,11.93,0.07,0.00,0.00
48,2.40,0.00,0.00,0.00,0.00,0.00,0.00
49,2.45,0.00,0.00,0.00,0.00,0.00,0.00
50,2.50,0.00,0.00,0.00,0.00,0.00,0.00
51,2.55,0.00,0.00,0.00,0.00,0.00,0.00
52,2.60,400.00,1055.43,11.87,0.13,0.00,0.00
53,2.65,0.00,0.00,0.00,0.00,0.00,0.00
54,2.70,400.00,1092.21,11.87,0.13,0.00,0.00
55,2.75,0.00,0.00,0.00,0.00,0.00,0.00
56,2.80,0.00,0.00,0.00,0.00,0.00,0.00
57,2.85,0.00,0.00,0.00,0.00,0.00,0.00
58,2.90,400.00,1174.96,11.77,0.23,0.00,0.00
59,2.95,400.00,1180.96,11.87,0.13,0.00,0.00
60,3.00,400.00,1215.76,11.77,0.23,0.00,0.00
61,3.05,0.00,0.00,0.00,0.00,0.00,0.00
62,3.10,400.00,1242.04,11.83,0.17,0.00,0.00
63,3.15,800.00,2537.78,11.83,0.20,0.00,0.00
64,3.20,0.00,0.00,0.00,0.00,0.00,0.00
65,3.25,0.00,0.00,0.00,0.00,0.00,0.00
66,3.30,0.00,0.00,0.00,0.00,0.00,0.00
67,3.35,800.00,2691.59,11.87,0.17,0.00,0.00
68,3.40,400.00,1378.82,11.93,0.07,0.00,0.00
69,3.45,1200.00,4151.84,11.90,0.13,0.00,0.00
70,3.50,400.00,1418.53,11.83,0.17,0.00,0.00
71,3.55,0.00,0.00,0.00,0.00,0.00,0.00
72,3.60,0.00,0.00,0.00,0.00,0.00,0.00
73,3.65,0.00,0.00,0.00,0.00,0.00,0.00
74,3.70,0.00,0.00,0.00,0.00,0.00,0.00
75,3.75,0.00,0.00,0.00,0.00,0.00,0.00
76,3.80,0.00,0.00,0.00,0.00,0.00,0.00
77,3.85,0.00,0.00,0.00,0.00,0.00,0.00
78,3.90,0.00,0.00,0.00,0.00,0.00,0.00
79,3.95,0.00,0.00,0.00,0.00,0.00,0.00
80,4.00,0.00,0.00,0.00,0.00,0.00,0.00
81,4.05,400.00,1620.32,11.93,0.07,0.00,0.00
