LISEM total flow and sed output file for point 1
Time,Pavg,Qall,Qbound,Qrunoff,Qsall,Qsbound,Qsrunoff,Conc
days,mm/h,l/s,l/s,l/s,kg/s,kg/s,kg/s,g/l
0.0000000,155.200,0.651,154.189,0.651,0.000,0.000,0.000,0.000
0.0013889,155.200,7.423,1205.113,7.423,0.000,0.000,0.000,0.000
0.0027778,155.200,26.209,4460.132,26.209,0.000,0.000,0.000,0.000
0.0041667,155.200,59.037,12226.961,59.037,3.373,3.373,0.000,0.000
0.0055556,155.200,109.589,26795.433,109.589,22.546,22.546,0.000,0.000
0.0069444,155.200,164.049,51043.670,164.049,51.434,51.434,0.000,0.000
0.0083333,111.300,149.482,80356.234,149.482,87.707,87.707,0.000,0.000
0.0097222,111.300,28.627,106354.715,28.627,116.585,116.585,0.000,0.000
0.0111111,111.300,14.021,126210.131,14.021,131.131,131.131,0.189,13.467
0.0125000,111.300,18.295,138683.233,18.295,154.538,154.538,0.319,17.429
0.0138889,111.300,14.829,145289.564,14.829,165.009,165.009,0.491,33.104
0.0152778,110.200,12.951,149531.974,12.951,177.608,177.608,1.139,87.977
0.0166667,110.200,2.666,152235.768,2.666,182.236,182.236,0.037,13.750
0.0180556,110.200,2.763,150643.271,2.763,170.080,170.080,0.024,8.805
0.0194444,110.200,11.934,150539.065,11.934,182.796,182.796,1.031,86.389
0.0208333,110.200,12.035,149972.691,12.035,191.758,191.758,0.683,56.749
0.0222222,0.000,9.294,132739.498,9.294,175.612,175.612,0.000,0.000
0.0236111,0.000,9.715,113581.900,9.715,165.601,165.601,0.119,12.222
0.0250000,0.000,4.322,92080.020,4.322,146.429,146.429,0.000,0.000
0.0263889,0.000,5.619,73759.769,5.619,121.054,121.054,0.000,0.000
0.0277778,0.000,4.469,57551.386,4.469,91.063,91.063,0.000,0.000
0.0291667,0.000,2.130,44851.120,2.130,72.553,72.553,0.000,0.000
0.0305556,0.000,1.315,34541.767,1.315,53.782,53.782,0.000,0.000
0.0319444,0.000,0.570,26910.278,0.570,39.724,39.724,0.000,0.000
0.0333333,0.000,0.507,20999.413,0.507,26.979,26.979,0.000,0.000
0.0347222,0.000,6.945,16870.471,6.945,22.663,22.663,0.000,0.000
0.0361111,0.000,12.204,13892.237,12.204,18.637,18.637,0.000,0.000
0.0375000,0.000,19.411,11614.894,19.411,12.969,12.969,0.000,0.000
0.0388889,0.000,26.495,9770.778,26.495,7.381,7.381,0.000,0.000
0.0402778,0.000,33.329,8414.636,33.329,4.059,4.059,0.000,0.000
0.0416667,0.000,39.502,7275.626,39.502,2.216,2.216,0.000,0.000
0.0430556,0.000,44.797,6405.545,44.797,1.763,1.763,0.000,0.000
0.0444444,0.000,49.104,5674.792,49.104,0.650,0.650,0.000,0.000
0.0458333,0.000,52.219,5071.945,52.219,0.548,0.548,0.000,0.000
