LISEM run - /home/jovyan/work/LISEM/runfiles/probnik_20m.run
Time(min),P(mm),Ic(mm),SS(mm),Inf(mm),Theta1 (-),Theta2 (-),Runoff(mm),Flood(mm),Flood area(m2),Channels(mm),Outflow(mm),Boundary Outflow(mm),Splash(ton),FlowDet(ton),Dep(ton),Sed(ton),ChanDet(ton),ChanDep(ton),ChanSed(ton),FloodDet(ton),FloodDep(ton),FloodSed(ton),SoilLoss(ton)
0.000,5.173,0.000,2.003,0.000,0.000,0.000,3.163,0.000,0.000,0.000,0.000,0.007,47.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-47.692,0.000,0.000
2.000,10.347,0.000,2.746,0.000,0.000,0.000,7.531,0.010,3600.000,0.000,0.000,0.060,66.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-66.304,0.000,0.000
4.000,15.520,0.000,2.980,0.000,0.000,0.000,12.033,0.251,50400.000,0.000,0.002,0.256,75.768,0.000,0.000,0.000,0.000,0.000,0.000,3.404,-75.763,3.409,0.000
6.000,20.693,0.000,3.053,0.000,0.000,0.000,15.575,1.296,143600.000,0.000,0.004,0.794,82.366,0.000,0.000,0.000,0.000,0.000,0.000,30.876,-82.362,30.476,0.405
8.000,25.867,0.000,3.079,0.000,0.000,0.000,17.946,3.057,248000.000,0.000,0.009,1.972,87.968,0.000,0.000,0.000,0.000,0.000,0.000,96.426,-88.096,93.187,3.110
10.000,31.040,0.000,3.088,0.000,0.000,0.000,19.399,5.143,323600.000,0.000,0.016,4.217,93.248,0.000,0.000,0.000,0.000,0.000,0.000,197.949,-95.300,186.615,9.282
12.000,34.750,0.000,3.046,0.000,0.000,0.000,19.494,6.675,356400.000,0.000,0.023,7.751,98.111,0.000,0.000,0.000,0.000,0.000,0.000,312.043,-105.617,284.730,19.807
14.000,38.460,0.000,3.031,0.000,0.000,0.000,19.643,7.756,386000.000,0.000,0.024,12.429,103.402,0.000,0.000,0.000,0.000,0.000,0.000,424.396,-120.321,373.680,33.797
16.000,42.170,0.000,3.028,0.000,0.000,0.000,19.760,8.609,394400.000,0.000,0.025,17.980,108.812,0.000,0.000,0.000,0.000,0.000,0.000,533.624,-139.433,453.471,49.533
18.000,45.880,0.000,3.027,0.000,0.000,0.000,19.844,9.349,402400.000,0.000,0.025,24.080,114.239,0.000,0.000,0.000,0.000,0.000,0.000,641.726,-162.086,525.801,68.078
20.000,49.590,0.000,3.027,0.000,0.000,0.000,19.894,10.065,405600.000,0.000,0.026,30.470,119.669,0.000,0.000,0.000,0.000,0.000,0.000,745.927,-187.497,590.221,87.879
22.000,53.263,0.000,3.026,0.000,0.000,0.000,19.884,10.739,406800.000,0.000,0.027,37.046,125.084,0.000,0.000,0.000,0.000,0.000,0.000,845.829,-216.208,645.513,109.192
24.000,56.937,0.000,3.026,0.000,0.000,0.000,19.836,11.394,407200.000,0.000,0.027,43.742,130.523,0.000,0.000,0.000,0.000,0.000,0.000,939.904,-246.702,692.665,131.060
26.000,60.610,0.000,3.025,0.000,0.000,0.000,19.855,12.016,409600.000,0.000,0.027,50.368,135.996,0.000,0.000,0.000,0.000,0.000,0.000,1028.849,-278.703,734.672,151.470
