"LISEM run with:,/home/jovyan/work/LISEM/runfiles/Gorsch.run"
"results at time (day:min):"1.00:1435
class,Depth,Area,Volume,Duration,Start,Structures,Roads
#,m,m2,m3,h,h,m2,m2
total,>0.05,32400.00,29263.45,,,0.00,0.00
1,0.05,18000.00,1345.60,17.33,21.58,0.00,0.00
2,0.10,1800.00,188.66,13.08,11.58,0.00,0.00
3,0.15,1800.00,324.21,17.67,9.25,0.00,0.00
4,0.20,0.00,0.00,0.00,0.00,0.00,0.00
5,0.25,900.00,252.64,17.33,6.67,0.00,0.00
6,0.30,0.00,0.00,0.00,0.00,0.00,0.00
7,0.35,900.00,320.86,12.75,11.25,0.00,0.00
8,0.40,900.00,390.02,17.42,6.58,0.00,0.00
9,0.45,0.00,0.00,0.00,0.00,0.00,0.00
10,0.50,0.00,0.00,0.00,0.00,0.00,0.00
11,0.55,0.00,0.00,0.00,0.00,0.00,0.00
12,0.60,0.00,0.00,0.00,0.00,0.00,0.00
13,0.65,0.00,0.00,0.00,0.00,0.00,0.00
14,0.70,0.00,0.00,0.00,0.00,0.00,0.00
15,0.75,0.00,0.00,0.00,0.00,0.00,0.00
16,0.80,0.00,0.00,0.00,0.00,0.00,0.00
17,0.85,0.00,0.00,0.00,0.00,0.00,0.00
18,0.90,900.00,827.89,14.00,10.00,0.00,0.00
19,0.95,0.00,0.00,0.00,0.00,0.00,0.00
20,1.00,0.00,0.00,0.00,0.00,0.00,0.00
21,1.05,0.00,0.00,0.00,0.00,0.00,0.00
22,1.10,0.00,0.00,0.00,0.00,0.00,0.00
23,1.15,0.00,0.00,0.00,0.00,0.00,0.00
24,1.20,0.00,0.00,0.00,0.00,0.00,0.00
25,1.25,0.00,0.00,0.00,0.00,0.00,0.00
26,1.30,0.00,0.00,0.00,0.00,0.00,0.00
27,1.35,0.00,0.00,0.00,0.00,0.00,0.00
28,1.40,0.00,0.00,0.00,0.00,0.00,0.00
29,1.45,900.00,1327.08,17.42,6.58,0.00,0.00
30,1.50,0.00,0.00,0.00,0.00,0.00,0.00
31,1.55,0.00,0.00,0.00,0.00,0.00,0.00
32,1.60,0.00,0.00,0.00,0.00,0.00,0.00
33,1.65,0.00,0.00,0.00,0.00,0.00,0.00
34,1.70,0.00,0.00,0.00,0.00,0.00,0.00
35,1.75,900.00,1614.05,17.08,6.92,0.00,0.00
36,1.80,0.00,0.00,0.00,0.00,0.00,0.00
37,1.85,900.00,1708.72,15.92,8.08,0.00,0.00
38,1.90,0.00,0.00,0.00,0.00,0.00,0.00
39,1.95,0.00,0.00,0.00,0.00,0.00,0.00
40,2.00,0.00,0.00,0.00,0.00,0.00,0.00
41,2.05,0.00,0.00,0.00,0.00,0.00,0.00
42,2.10,0.00,0.00,0.00,0.00,0.00,0.00
43,2.15,0.00,0.00,0.00,0.00,0.00,0.00
44,2.20,0.00,0.00,0.00,0.00,0.00,0.00
45,2.25,0.00,0.00,0.00,0.00,0.00,0.00
46,2.30,0.00,0.00,0.00,0.00,0.00,0.00
47,2.35,0.00,0.00,0.00,0.00,0.00,0.00
48,2.40,0.00,0.00,0.00,0.00,0.00,0.00
49,2.45,0.00,0.00,0.00,0.00,0.00,0.00
50,2.50,0.00,0.00,0.00,0.00,0.00,0.00
51,2.55,0.00,0.00,0.00,0.00,0.00,0.00
52,2.60,0.00,0.00,0.00,0.00,0.00,0.00
53,2.65,0.00,0.00,0.00,0.00,0.00,0.00
54,2.70,0.00,0.00,0.00,0.00,0.00,0.00
