LISEM total flow and sed output file for point 1
Time,Pavg,Qall,Qbound,Qrunoff,Qsall,Qsbound,Qsrunoff,Conc
days,mm/h,l/s,l/s,l/s,kg/s,kg/s,kg/s,g/l
0.0000000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0034722,1.000,0.002,0.004,0.002,0.000,0.000,0.000,0.000
0.0069444,1.000,0.004,0.016,0.004,0.000,0.000,0.000,0.000
0.0104167,1.000,0.008,0.037,0.008,0.000,0.000,0.000,0.000
0.0138889,1.000,0.013,0.056,0.013,0.000,0.000,0.000,0.000
0.0173611,1.000,0.022,0.071,0.022,0.000,0.000,0.000,0.000
0.0208333,1.000,0.037,0.090,0.037,0.000,0.000,0.000,0.000
0.0243056,1.000,0.067,0.109,0.067,0.000,0.000,0.000,0.000
0.0277778,1.000,0.118,0.129,0.118,0.000,0.000,0.000,0.000
0.0312500,1.000,0.200,0.149,0.200,0.000,0.000,0.000,0.000
0.0347222,1.000,0.332,0.176,0.332,0.000,0.000,0.000,0.000
0.0381944,1.000,0.541,0.199,0.541,0.000,0.000,0.000,0.000
0.0416667,1.000,0.866,0.222,0.866,0.000,0.000,0.000,0.000
0.0451389,1.000,1.365,0.251,1.365,0.000,0.000,0.000,0.000
0.0486111,1.000,2.111,0.280,2.111,0.000,0.000,0.000,0.000
0.0520833,1.000,3.192,0.310,3.192,0.000,0.000,0.000,0.000
0.0555556,1.000,4.721,0.343,4.721,0.000,0.000,0.000,0.000
0.0590278,1.000,6.867,0.381,6.867,0.000,0.000,0.000,0.000
0.0625000,1.000,9.878,0.421,9.878,0.000,0.000,0.000,0.000
0.0659722,1.000,14.141,0.460,14.141,0.000,0.000,0.000,0.000
0.0694444,1.000,20.173,0.510,20.173,0.000,0.000,0.000,0.000
0.0729167,1.000,28.620,0.557,28.620,0.000,0.000,0.000,0.000
0.0763889,1.000,40.296,0.606,40.296,0.000,0.000,0.000,0.000
0.0798611,1.000,56.136,0.642,56.136,0.000,0.000,0.000,0.000
0.0833333,1.000,77.034,0.684,77.034,0.000,0.000,0.000,0.000
0.0868056,2.000,105.261,0.814,105.261,0.000,0.000,0.000,0.000
0.0902778,2.000,142.101,0.947,142.101,0.000,0.000,0.000,0.000
0.0937500,2.000,188.823,1.074,188.823,0.000,0.000,0.000,0.000
0.0972222,2.000,246.471,1.197,246.471,0.000,0.000,0.000,0.000
0.1006944,2.000,315.996,1.346,315.996,0.000,0.000,0.000,0.000
0.1041667,2.000,398.435,1.478,398.435,0.000,0.000,0.000,0.000
0.1076389,2.000,495.057,1.598,495.057,0.000,0.000,0.000,0.000
0.1111111,2.000,607.733,1.745,607.733,0.000,0.000,0.000,0.000
0.1145833,2.000,738.214,1.906,738.214,0.000,0.000,0.000,0.000
0.1180556,2.000,887.218,2.011,887.218,0.000,0.000,0.000,0.000
0.1215278,2.000,1055.000,2.123,1055.000,0.000,0.000,0.000,0.000
0.1250000,2.000,1241.369,2.238,1241.369,0.000,0.000,0.000,0.000
0.1284722,2.000,1445.808,2.317,1445.808,0.000,0.000,0.000,0.000
0.1319444,2.000,1667.266,2.388,1667.266,0.000,0.000,0.000,0.000
0.1354167,2.000,1904.258,2.461,1904.258,0.000,0.000,0.000,0.000
0.1388889,2.000,2155.025,2.521,2155.025,0.000,0.000,0.000,0.000
0.1423611,2.000,2417.510,2.571,2417.510,0.000,0.000,0.000,0.000
0.1458333,2.000,2689.966,2.615,2689.966,0.000,0.000,0.000,0.000
0.1493056,2.000,2882.904,2.643,2882.904,0.000,0.000,0.000,0.000
0.1527778,2.000,2482.738,2.676,2482.738,0.000,0.000,0.000,0.000
0.1562500,2.000,1704.343,2.703,1704.343,0.000,0.000,0.000,0.000
0.1597222,2.000,1436.129,2.648,1436.129,0.000,0.000,0.000,0.000
0.1631944,2.000,1439.438,2.640,1439.438,0.000,0.000,0.000,0.000
0.1666667,2.000,1534.716,2.632,1534.716,0.000,0.000,0.000,0.000
0.1701389,1.000,1651.309,2.499,1651.309,0.000,0.000,0.000,0.000
0.1736111,1.000,1766.651,2.341,1766.651,0.000,0.000,0.000,0.000
0.1770833,1.000,1871.461,2.211,1871.461,0.000,0.000,0.000,0.000
0.1805556,1.000,1962.755,2.096,1962.755,0.000,0.000,0.000,0.000
0.1840278,1.000,2068.224,1.977,2068.224,0.000,0.000,0.000,0.000
0.1875000,1.000,2225.069,1.878,2225.069,0.000,0.000,0.000,0.000
0.1909722,1.000,2352.241,1.750,2352.241,0.000,0.000,0.000,0.000
0.1944444,1.000,2316.976,1.663,2316.976,0.000,0.000,0.000,0.000
0.1979167,1.000,2198.360,1.594,2198.360,0.000,0.000,0.000,0.000
0.2013889,1.000,2034.667,1.523,2034.667,0.000,0.000,0.000,0.000
0.2048611,1.000,1853.108,1.467,1853.108,0.000,0.000,0.000,0.000
0.2083333,1.000,1674.175,1.428,1674.175,0.000,0.000,0.000,0.000
0.2118056,1.000,1511.168,1.387,1511.168,0.000,0.000,0.000,0.000
0.2152778,1.000,1368.115,1.342,1368.115,0.000,0.000,0.000,0.000
0.2187500,1.000,1245.339,1.312,1245.339,0.000,0.000,0.000,0.000
0.2222222,1.000,1141.572,1.286,1141.572,0.000,0.000,0.000,0.000
0.2256944,1.000,1053.890,1.264,1053.890,0.000,0.000,0.000,0.000
0.2291667,1.000,979.686,1.217,979.686,0.000,0.000,0.000,0.000
0.2326389,1.000,916.560,1.209,916.560,0.000,0.000,0.000,0.000
0.2361111,1.000,862.482,1.182,862.482,0.000,0.000,0.000,0.000
0.2395833,1.000,815.822,1.154,815.822,0.000,0.000,0.000,0.000
0.2430556,1.000,775.404,1.131,775.404,0.000,0.000,0.000,0.000
0.2465278,1.000,740.098,1.142,740.098,0.000,0.000,0.000,0.000
0.2500000,1.000,709.091,1.116,709.091,0.000,0.000,0.000,0.000
0.2534722,10.000,747.788,2.473,747.788,0.000,0.000,0.000,0.000
0.2569444,10.000,843.934,4.228,843.934,0.000,0.000,0.000,0.000
0.2604167,10.000,987.793,6.336,987.793,0.000,0.000,0.000,0.000
0.2638889,10.000,1186.673,8.938,1186.673,0.000,0.000,0.000,0.000
0.2673611,10.000,1479.884,11.991,1479.884,0.000,0.000,0.000,0.000
0.2708333,10.000,1878.444,14.796,1878.444,0.000,0.000,0.000,0.000
0.2743056,10.000,2651.817,17.022,2651.817,0.000,0.000,0.000,0.000
0.2777778,10.000,3517.785,18.890,3517.785,0.000,0.000,0.000,0.000
0.2812500,10.000,3991.132,20.231,3991.132,0.000,0.000,0.000,0.000
0.2847222,10.000,4587.298,21.454,4587.298,0.000,0.000,0.000,0.000
0.2881944,10.000,5468.622,22.548,5468.622,0.000,0.000,0.000,0.000
0.2916667,10.000,6222.286,23.328,6222.286,0.000,0.000,0.000,0.000
0.2951389,10.000,6644.567,23.803,6644.567,0.000,0.000,0.000,0.000
0.2986111,10.000,7350.788,24.021,7350.788,0.000,0.000,0.000,0.000
0.3020833,10.000,8169.449,24.062,8169.449,0.000,0.000,0.000,0.000
0.3055556,10.000,9005.132,24.139,9005.132,0.000,0.000,0.000,0.000
0.3090278,10.000,9825.461,24.135,9825.461,0.000,0.000,0.000,0.000
0.3125000,10.000,10623.079,23.436,10623.079,0.000,0.000,0.000,0.000
0.3159722,10.000,11398.637,24.126,11398.637,0.000,0.000,0.000,0.000
0.3194444,10.000,12182.277,26.194,12182.277,0.366,0.366,0.000,0.000
0.3229167,10.000,12954.276,25.152,12954.276,0.000,0.000,0.000,0.000
0.3263889,10.000,13711.280,27.442,13711.280,0.360,0.360,0.000,0.000
0.3298611,10.000,14418.842,26.014,14418.842,0.000,0.000,0.000,0.000
0.3333333,10.000,14772.489,26.933,14772.489,0.000,0.000,0.000,0.000
0.3368056,10.000,14909.014,29.431,14909.014,0.450,0.450,0.000,0.000
0.3402778,10.000,14997.407,27.677,14997.407,0.000,0.000,0.000,0.000
0.3437500,10.000,15300.997,28.021,15300.997,0.000,0.000,0.000,0.000
0.3472222,10.000,15659.955,28.364,15659.955,0.000,0.000,0.000,0.000
0.3506944,10.000,16070.977,28.897,16070.977,0.000,0.000,0.000,0.000
0.3541667,10.000,16531.183,29.301,16531.183,0.000,0.000,0.000,0.000
0.3576389,10.000,17023.784,29.658,17023.784,0.000,0.000,0.000,0.000
0.3611111,10.000,17534.178,30.070,17534.178,0.000,0.000,0.000,0.000
0.3645833,10.000,18117.557,33.129,18117.557,0.564,0.564,0.000,0.000
0.3680556,10.000,18742.204,30.452,18742.204,0.000,0.000,0.000,0.000
0.3715278,10.000,19383.848,33.838,19383.848,0.467,0.467,0.000,0.000
0.3750000,10.000,20044.750,31.048,20044.750,0.000,0.000,0.000,0.000
0.3784722,10.000,20682.498,31.462,20682.498,0.000,0.000,0.000,0.000
0.3819444,10.000,21331.848,31.860,21331.848,0.000,0.000,0.000,0.000
0.3854167,10.000,22006.333,32.363,22006.333,0.000,0.000,0.000,0.000
0.3888889,10.000,22709.816,32.616,22709.816,0.000,0.000,0.000,0.000
0.3923611,10.000,23455.892,33.163,23455.892,0.000,0.000,0.000,0.000
0.3958333,10.000,24245.419,33.717,24245.419,0.000,0.000,0.000,0.000
0.3993056,10.000,25073.537,34.039,25073.537,0.000,0.000,0.000,0.000
0.4027778,10.000,25817.208,34.518,25817.208,0.000,0.000,0.000,0.000
0.4062500,10.000,26238.086,34.860,26238.086,0.000,0.000,0.000,0.000
0.4097222,10.000,26533.149,35.270,26533.149,0.000,0.000,0.000,0.000
0.4131944,10.000,26815.621,35.539,26815.621,0.000,0.000,0.000,0.000
0.4166667,10.000,27155.315,35.684,27155.315,0.000,0.000,0.000,0.000
0.4201389,10.000,27666.703,35.669,27666.703,0.000,0.000,0.000,0.000
0.4236111,10.000,28189.828,35.594,28189.828,0.000,0.000,0.000,0.000
0.4270833,10.000,28660.126,35.431,28660.126,0.000,0.000,0.000,0.000
0.4305556,10.000,29074.269,35.404,29074.269,0.000,0.000,0.000,0.000
0.4340278,10.000,29394.978,35.331,29394.978,0.000,0.000,0.000,0.000
0.4375000,10.000,29665.773,35.390,29665.773,0.000,0.000,0.000,0.000
0.4409722,10.000,29921.212,35.369,29921.212,0.000,0.000,0.000,0.000
0.4444444,10.000,30146.738,35.572,30146.738,0.000,0.000,0.000,0.000
0.4479167,10.000,30339.529,35.657,30339.529,0.000,0.000,82.620,2.723
0.4513889,10.000,30481.788,35.742,30481.788,0.000,0.000,128.912,4.229
0.4548611,10.000,30598.163,36.049,30598.163,0.000,0.000,129.406,4.229
0.4583333,10.000,30709.982,36.382,30709.982,0.000,0.000,129.132,4.205
0.4618056,10.000,30803.691,36.685,30803.691,0.000,0.000,128.709,4.178
0.4652778,10.000,30890.457,37.008,30890.457,0.000,0.000,128.362,4.155
0.4687500,10.000,31265.609,37.217,31265.609,0.000,0.000,134.449,4.300
0.4722222,10.000,31575.376,37.448,31575.376,0.000,0.000,139.954,4.432
0.4756944,10.000,31894.497,37.731,31894.497,0.000,0.000,146.310,4.587
0.4791667,10.000,32212.277,37.917,32212.277,0.000,0.000,152.288,4.728
0.4826389,10.000,32521.502,38.238,32521.502,0.000,0.000,0.000,0.000
0.4861111,10.000,32821.773,38.408,32821.773,0.000,0.000,73.946,2.253
0.4895833,10.000,33077.751,38.519,33077.751,0.000,0.000,0.000,0.000
0.4930556,10.000,33300.449,38.779,33300.449,0.000,0.000,69.007,2.072
0.4965278,10.000,33532.718,38.916,33532.718,0.000,0.000,30.379,0.906
0.5000000,10.000,33691.230,38.978,33691.230,0.000,0.000,161.160,4.783
0.5034722,1.000,33746.831,30.794,33746.831,0.000,0.000,194.314,5.758
0.5069444,1.000,33784.860,25.809,33784.860,0.000,0.000,196.091,5.804
0.5104167,1.000,33746.106,21.790,33746.106,0.000,0.000,0.000,0.000
0.5138889,1.000,33630.097,18.587,33630.097,0.000,0.000,42.508,1.264
0.5173611,1.000,33531.885,16.007,33531.885,0.000,0.000,96.051,2.864
0.5208333,1.000,33447.581,13.901,33447.581,0.000,0.000,173.115,5.176
0.5243056,1.000,33440.463,12.216,33440.463,0.000,0.000,194.969,5.830
0.5277778,1.000,33293.001,10.851,33293.001,0.000,0.000,188.145,5.651
0.5312500,1.000,33249.496,9.750,33249.496,0.000,0.000,0.000,0.000
0.5347222,1.000,33202.869,8.844,33202.869,0.000,0.000,30.805,0.928
0.5381944,1.000,33166.586,8.087,33166.586,0.000,0.000,188.861,5.694
0.5416667,1.000,33148.325,7.446,33148.325,0.000,0.000,184.398,5.563
0.5451389,1.000,33124.594,6.896,33124.594,0.000,0.000,0.000,0.000
0.5486111,1.000,33100.752,6.429,33100.752,0.000,0.000,27.798,0.840
0.5520833,1.000,33079.842,6.013,33079.842,0.000,0.000,186.031,5.624
0.5555556,1.000,33061.859,5.646,33061.859,0.000,0.000,181.825,5.500
0.5590278,1.000,33045.542,5.322,33045.542,0.000,0.000,0.000,0.000
0.5625000,1.000,33032.022,5.052,33032.022,0.000,0.000,25.712,0.778
0.5659722,1.000,33019.237,4.774,33019.237,0.000,0.000,183.901,5.570
0.5694444,1.000,33007.923,4.609,33007.923,0.000,0.000,180.025,5.454
0.5729167,1.000,32996.975,4.346,32996.975,0.000,0.000,0.000,0.000
0.5763889,1.000,32987.139,4.226,32987.139,0.000,0.000,24.413,0.740
0.5798611,1.000,32977.472,4.002,32977.472,0.000,0.000,182.343,5.529
0.5833333,1.000,32968.636,3.921,32968.636,0.000,0.000,178.662,5.419
0.5868056,1.000,32959.910,3.727,32959.910,0.000,0.000,10.366,0.314
0.5902778,1.000,32951.891,3.679,32951.891,0.000,0.000,143.660,4.360
0.5937500,1.000,32943.863,3.499,32943.863,0.000,0.000,177.510,5.388
0.5972222,1.000,32936.367,3.409,32936.367,0.000,0.000,176.800,5.368
0.6006944,1.000,32928.741,3.321,32928.741,0.000,0.000,147.842,4.490
0.6041667,1.000,32921.614,3.272,32921.614,0.000,0.000,170.394,5.176
0.6076389,1.000,32914.401,3.171,32914.401,0.000,0.000,181.970,5.529
0.6111111,1.000,32907.749,3.111,32907.749,0.000,0.000,176.906,5.376
0.6145833,1.000,32901.079,3.062,32901.079,0.000,0.000,115.993,3.525
0.6180556,1.000,32894.558,2.999,32894.558,0.000,0.000,163.125,4.959
0.6215278,1.000,32888.430,3.262,32888.430,0.000,0.000,179.654,5.463
0.6250000,1.000,32882.049,2.956,32882.049,0.000,0.000,175.708,5.344
0.6284722,1.000,32875.694,2.915,32875.694,0.000,0.000,181.818,5.530
0.6319444,1.000,32869.758,2.876,32869.758,0.000,0.000,175.803,5.348
0.6354167,1.000,32864.188,3.047,32864.188,0.000,0.000,179.352,5.457
0.6388889,1.000,32857.870,2.853,32857.870,0.000,0.000,174.961,5.325
0.6423611,1.000,32852.271,2.835,32852.271,0.000,0.000,180.909,5.507
0.6458333,1.000,32847.057,2.821,32847.057,0.000,0.000,174.955,5.326
0.6493056,1.000,32841.133,2.805,32841.133,0.000,0.000,180.543,5.497
0.6527778,1.000,32836.005,2.788,32836.005,0.000,0.000,174.558,5.316
