LISEM run - /home/jovyan/work/LISEM/runfiles/Gorsch.run
Time(min),P(mm),Ic(mm),SS(mm),Inf(mm),Theta1 (-),Theta2 (-),Runoff(mm),Flood(mm),Flood area(m2),Channels(mm),Outflow(mm),Boundary Outflow(mm),Splash(ton),FlowDet(ton),Dep(ton),Sed(ton),ChanDet(ton),ChanDep(ton),ChanSed(ton),FloodDet(ton),FloodDep(ton),FloodSed(ton),SoilLoss(ton)
0.000,0.083,0.028,0.026,0.000,0.398,0.398,0.029,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.150,0.000,0.000
5.000,0.167,0.054,0.053,0.000,0.398,0.398,0.059,0.000,0.000,0.000,0.000,0.000,0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.318,0.000,0.000
10.000,0.250,0.079,0.080,0.000,0.398,0.398,0.091,0.000,0.000,0.000,0.000,0.000,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.501,0.000,0.000
15.000,0.333,0.101,0.108,0.000,0.398,0.398,0.124,0.000,0.000,0.000,0.000,0.000,0.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.695,0.000,0.000
20.000,0.417,0.122,0.135,0.000,0.398,0.398,0.159,0.000,0.000,0.000,0.000,0.000,0.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.897,0.000,0.000
25.000,0.500,0.142,0.162,0.000,0.398,0.398,0.196,0.000,0.000,0.000,0.000,0.000,1.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.103,0.000,0.000
30.000,0.583,0.160,0.188,0.000,0.398,0.398,0.235,0.000,0.000,0.000,0.000,0.000,1.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.311,0.000,0.000
35.000,0.667,0.177,0.215,0.000,0.398,0.398,0.275,0.000,0.000,0.000,0.000,0.000,1.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.518,0.000,0.000
40.000,0.750,0.192,0.240,0.000,0.398,0.398,0.317,0.000,0.000,0.000,0.000,0.000,1.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.723,0.000,0.000
45.000,0.833,0.207,0.265,0.000,0.398,0.398,0.361,0.000,0.000,0.000,0.000,0.000,1.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.924,0.000,0.000
50.000,0.917,0.220,0.289,0.000,0.398,0.398,0.407,0.000,0.000,0.000,0.001,0.001,2.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.122,0.000,0.000
55.000,1.000,0.233,0.311,0.000,0.398,0.398,0.455,0.000,0.000,0.000,0.001,0.001,2.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.314,0.000,0.000
60.000,1.083,0.245,0.332,0.000,0.398,0.398,0.505,0.000,0.000,0.000,0.002,0.001,2.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.502,0.000,0.000
65.000,1.167,0.255,0.352,0.000,0.398,0.398,0.558,0.000,0.000,0.000,0.002,0.001,2.686,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.686,0.000,0.000
70.000,1.250,0.265,0.371,0.000,0.398,0.398,0.613,0.000,0.000,0.000,0.004,0.001,2.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.865,0.000,0.000
75.000,1.333,0.275,0.388,0.000,0.398,0.398,0.669,0.000,0.000,0.000,0.006,0.001,3.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.040,0.000,0.000
80.000,1.417,0.283,0.403,0.000,0.398,0.398,0.728,0.000,0.000,0.000,0.009,0.002,3.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.212,0.000,0.000
85.000,1.500,0.291,0.417,0.000,0.398,0.398,0.789,0.000,0.000,0.000,0.014,0.002,3.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.380,0.000,0.000
90.000,1.583,0.299,0.430,0.000,0.398,0.398,0.852,0.000,0.000,0.000,0.021,0.002,3.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.545,0.000,0.000
95.000,1.667,0.306,0.441,0.000,0.398,0.398,0.917,0.000,0.000,0.000,0.031,0.003,3.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.707,0.000,0.000
100.000,1.750,0.312,0.451,0.000,0.398,0.398,0.984,0.000,0.000,0.000,0.045,0.003,3.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3.867,0.000,0.000
105.000,1.833,0.318,0.460,0.000,0.398,0.398,1.048,0.004,900.000,0.000,0.065,0.003,4.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.025,0.000,0.000
110.000,1.917,0.324,0.468,0.000,0.398,0.398,1.094,0.027,900.000,0.000,0.093,0.004,4.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.181,0.000,0.000
115.000,2.000,0.329,0.475,0.000,0.398,0.398,1.137,0.055,900.000,0.000,0.132,0.004,4.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.335,0.000,0.000
120.000,2.083,0.334,0.480,0.000,0.398,0.398,1.177,0.088,900.000,0.000,0.186,0.005,4.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.488,0.000,0.000
125.000,2.250,0.342,0.509,0.000,0.398,0.398,1.267,0.127,900.000,0.000,0.259,0.005,4.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4.792,0.000,0.000
130.000,2.417,0.350,0.535,0.000,0.398,0.398,1.355,0.172,900.000,0.000,0.358,0.006,5.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.085,0.000,0.000
135.000,2.583,0.356,0.557,0.000,0.398,0.398,1.440,0.224,900.000,0.000,0.489,0.007,5.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.366,0.000,0.000
140.000,2.750,0.362,0.576,0.000,0.398,0.398,1.522,0.283,900.000,0.000,0.661,0.007,5.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.637,0.000,0.000
145.000,2.917,0.366,0.593,0.000,0.398,0.398,1.600,0.349,900.000,0.000,0.881,0.008,5.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.899,0.000,0.000
150.000,3.083,0.370,0.607,0.000,0.398,0.398,1.675,0.422,900.000,0.000,1.158,0.009,6.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.154,0.000,0.000
155.000,3.250,0.374,0.619,0.000,0.398,0.398,1.745,0.502,900.000,0.000,1.502,0.011,6.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.403,0.000,0.000
160.000,3.417,0.377,0.629,0.000,0.398,0.398,1.810,0.589,900.000,0.000,1.925,0.012,6.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.646,0.000,0.000
165.000,3.583,0.380,0.638,0.000,0.398,0.398,1.869,0.683,900.000,0.000,2.439,0.013,6.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.885,0.000,0.000
170.000,3.750,0.382,0.645,0.000,0.398,0.398,1.923,0.785,900.000,0.000,3.056,0.014,7.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7.121,0.000,0.000
175.000,3.917,0.384,0.651,0.000,0.398,0.398,1.972,0.894,900.000,0.000,3.791,0.016,7.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7.353,0.000,0.000
180.000,4.083,0.386,0.656,0.000,0.398,0.398,2.014,1.009,900.000,0.000,4.654,0.018,7.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7.584,0.000,0.000
185.000,4.250,0.387,0.661,0.000,0.398,0.398,2.051,1.132,900.000,0.000,5.661,0.019,7.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7.812,0.000,0.000
190.000,4.417,0.388,0.664,0.000,0.398,0.398,2.083,1.260,900.000,0.000,6.821,0.021,8.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8.039,0.000,0.000
195.000,4.583,0.389,0.667,0.000,0.398,0.398,2.110,1.394,900.000,0.000,8.146,0.023,8.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8.264,0.000,0.000
200.000,4.750,0.390,0.670,0.000,0.398,0.398,2.133,1.533,900.000,0.000,9.646,0.024,8.489,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8.489,0.000,0.000
205.000,4.917,0.391,0.672,0.000,0.398,0.398,2.152,1.675,900.000,0.000,11.328,0.026,8.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8.712,0.000,0.000
210.000,5.083,0.392,0.674,0.000,0.398,0.398,2.184,1.806,900.000,0.000,13.200,0.028,8.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-8.935,0.000,0.000
215.000,5.250,0.392,0.677,0.000,0.398,0.398,2.290,1.861,900.000,0.000,15.206,0.030,9.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.155,0.000,0.000
220.000,5.417,0.393,0.678,0.000,0.398,0.398,2.330,1.984,1800.000,0.000,16.934,0.032,9.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.375,0.000,0.000
225.000,5.583,0.393,0.680,0.000,0.398,0.398,2.362,2.115,2700.000,0.000,18.120,0.033,9.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.594,0.000,0.000
230.000,5.750,0.394,0.681,0.000,0.398,0.398,2.370,2.270,2700.000,0.000,19.119,0.035,9.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.812,0.000,0.000
235.000,5.917,0.394,0.682,0.000,0.398,0.398,2.377,2.427,2700.000,0.000,20.121,0.037,10.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.030,0.000,0.000
240.000,6.083,0.394,0.683,0.000,0.398,0.398,2.384,2.584,2700.000,0.000,21.189,0.039,10.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.248,0.000,0.000
245.000,6.167,0.394,0.664,0.000,0.398,0.398,2.329,2.738,2700.000,0.000,22.338,0.041,10.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.357,0.000,0.000
250.000,6.250,0.395,0.648,0.000,0.398,0.398,2.275,2.890,2700.000,0.000,23.567,0.042,10.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.471,0.000,0.000
255.000,6.333,0.395,0.634,0.000,0.398,0.398,2.222,3.039,2700.000,0.000,24.870,0.044,10.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.587,0.000,0.000
260.000,6.417,0.395,0.622,0.000,0.398,0.398,2.171,3.184,2700.000,0.000,26.236,0.045,10.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.706,0.000,0.000
